2014 - 2015,Variety,28-Oct,11-Nov,24-Nov,8-Dec,22-Dec,5-Jan,19-Jan,2-Feb,16-Feb,4-Mar,18-Mar
"Osoyoos, southeast ",Cabernet Franc,,-14.2,-21.0,-23.5,-23.1,,-23.5,,-19.3,-20.3,-11.2
Black Sage,Cabernet Franc,-12.2,-16.6,-18.9,-20.4,-21.9,-22.8,-22.6,-21.9,-17.7,-18.0,-10.3
Oliver east,Cabernet Franc,-11.2,-17.6,-18.5,-20.8,-20.9,-22.7,-21.0,-22.3,-17.8,-19.5,-14.4
"Osoyoos, southeast ",Cabernet Sauvignon,-12.2,-15.7,-19.3,-20.2,-21.3,-22.7,-22.2,-21.5,-17.6,-19.4,-13.6
Black Sage,Cabernet Sauvignon,-12.3,-16.2,-19.2,-19.2,-20.9,-21.7,-24.4,-21.1,-17.0,-19.4,-16.7
Osoyoos northeast,Cabernet Sauvignon,-11.8,-15.0,-19.5,-20.9,-20.2,-21.8,-22.3,-21.7,-19.2,-19.7,-14.1
Osoyoos northeast,Cabernet Sauvignon,-11.6,-16.8,-18.9,-21.2,-21.6,-19.9,-22.9,-21.6,-17.9,-18.1,-14.6
"Osoyoos, southeast ",Chardonnay,-14.0,-17.6,-23.0,-23.6,-23.9,,-22.0,,-20.4,-20.2,-12.0
Black Sage,Chardonnay,-12.6,-13.9,-20.3,-23.2,-22.2,,-22.8,,-18.2,-19.1,-11.5
Naramata bench,Chardonnay,-14.4,-20.2,-20.9,-22.1,-22.6,,-21.3,-22.0,-19.1,-17.4,-13.1
"OK Falls, east",Chardonnay,-13.9,-19.8,-20.5,-21.6,-21.8,-22.9,-20.5,-21.6,-17.9,-18.1,-10.4
Oliver east,Chardonnay,-13.0,-19.8,-21.8,-22.0,-22.7,-24.3,-24.1,-22.9,-16.9,-19.3,-10.8
Kelowna,Gewurztraminer,,-16.1,-18.0,-20.3,-21.2,-22.5,-21.9,-21.1,-18.1,-18.4,-11.3
"OK Falls, west",Gewurztraminer,-12.8,-19.7,-21.5,-22.6,,,-21.7,-21.3,-16.8,-18.2,-11.0
Oliver east,Gewurztraminer,-12.9,-19.6,-20.8,-21.6,,-23.0,-21.8,-22.7,-20.4,-19.1,-14.4
Osoyoos west,Merlot,,-14.4,-20.1,-22.5,-21.5,,-23.7,,-19.5,-19.3,-12.5
"Oliver, west",Merlot,-11.9,-14.8,-16.5,-20.0,-19.9,-21.9,-22.9,,-19.3,-18.3,-12.7
Osoyoos northeast,Merlot,-13.5,-18.4,-20.7,-21.8,-21.0,-22.6,,-21.9,-19.6,-18.7,-13.1
Black Sage,Merlot,-12.4,-16.9,-19.7,-19.5,-21.6,,-23.9,-22.1,-19.4,-18.5,-11.9
Black Sage,Pinot blanc,-14.2,-17.7,-18.6,-20.4,-20.2,-22.3,-23.8,-20.9,-17.6,-17.9,-12.9
Oliver east,Pinot blanc,,-20.4,-22.6,-22.7,,-23.8,-23.2,-23.3,-19.0,-21.0,-14.5
Oliver east,Pinot gris,-14.4,-15.8,-22.7,-22.5,-22.6,,-20.7,,-21.0,-22.0,-15.2
Black Sage,Pinot gris,-13.7,-18.9,-19.4,-21.7,-22.4,-23.8,-20.0,-22.4,-17.8,-19.6,-13.0
Naramata bench,Pinot gris,-13.2,-19.1,-19.8,-20.4,-21.8,,-22.3,-21.0,-16.6,-14.9,-10.6
"OK Falls, east",Pinot gris,-14.0,-21.5,-21.8,-22.5,-23.3,-23.7,-21.4,-22.9,-20.4,-20.4,-14.3
Oliver east,Pinot gris,-14.2,-19.7,-21.1,-22.9,-22.7,-23.9,-24.1,-23.0,-18.6,-19.6,-15.3
Naramata bench,Pinot noir,,-18.6,-21.8,-22.2,-23.6,,-22.1,-21.1,-15.7,-14.8,-10.2
Black Sage,Pinot noir,-14.3,-20.1,-20.8,-23.1,-23.8,-23.6,-23.5,-23.9,-21.5,-20.7,-15.2
Kelowna,Pinot noir,-14.5,-19.7,-21.6,-22.5,-22.5,-22.8,-22.4,-21.5,-17.7,-18.5,-11.3
Osoyoos northeast,Pinot noir,-13.3,-17.5,-20.9,-21.5,-22.7,,-23.3,-22.4,-19.7,-19.5,-13.2
Naramata bench,Riesling,,-20.2,-21.4,-23.5,-23.2,,-24.1,-23.2,-19.0,-17.9,-11.4
Black Sage,Riesling,,-17.6,-21.3,-22.1,-23.2,-24.0,-22.5,-22.9,-20.2,-20.4,-15.4
Black Sage,Riesling,-13.7,-21.6,-21.7,-23.5,-23.7,-24.0,-22.9,-23.6,-21.5,-21.6,-14.9
West Kelowna,Riesling,-13.3,-19.9,-21.9,-22.2,-22.0,-22.9,-23.6,-23.0,-20.9,-21.0,-13.5
Oliver east,Riesling,-12.8,-19.8,-19.7,-22.3,,-24.2,-23.9,-22.7,-20.4,-20.8,-14.2
Oliver east,Sauvignon blanc,-12.3,-18.0,-20.8,-21.7,-21.6,-23.0,-22.1,-21.8,-19.8,-19.6,-13.6
Oliver east,Sauvignon blanc,-13.2,-18.3,-20.1,-21.8,-21.8,-23.3,-22.9,-22.4,-19.0,-21.1,-14.7
"Osoyoos, southeast ",Shiraz,,-13.1,-19.2,-19.9,-20.8,,-22.0,,-19.0,-19.8,-10.5
"Osoyoos, southeast ",Shiraz,,-12.8,-18.1,-20.2,-20.0,,-22.0,,-18.0,-19.5,-11.1
"Osoyoos, southeast ",Shiraz,-14.1,-18.9,-20.9,-20.3,-22.0,-23.7,-21.9,-23.1,-19.2,-18.8,-14.0
Black Sage,Shiraz,-11.4,-17.1,-19.2,-21.2,-21.0,-20.5,-21.2,-22.2,-18.7,-18.9,-13.1
Osoyoos northeast,Shiraz,-12.2,-16.1,-17.4,-19.3,-19.0,,-22.3,-20.7,-17.4,-16.7,-11.6
