2015 - 2016,Variety,27-Oct,10-Nov,24-Nov,8-Dec,22-Dec,5-Jan,19-Jan,2-Feb,16-Feb,1-Mar,15-Mar,29-Mar
"Osoyoos, southeast ",Cabernet Franc,,-16.0,-20.5,-22.4,-23.7,,-22.3,,-22.7,-18.4,-15.9,-10.7
Black Sage,Cabernet Franc,-14.1,-19.1,-22.1,-22.0,-23.4,-25.2,-23.3,-23.5,-21.6,-18.2,-12.5,-11.3
Oliver east,Cabernet Franc,-14.4,-18.1,-22.5,-21.8,-24.7,-25.2,-23.8,-24.3,-20.7,-19.4,-17.4,-12.2
"Osoyoos, southeast ",Cabernet Sauvignon,,-17.2,-19.3,-21.0,-21.6,-24.1,-22.0,-22.3,-21.8,-18.6,-14.7,-11.4
Black Sage,Cabernet Sauvignon,-13.0,-16.6,-20.5,-20.6,-23.3,-23.9,-23.1,-21.4,-22.9,-18.9,-17.4,-11.2
Osoyoos northeast,Cabernet Sauvignon,-14.3,-18.6,-21.2,-20.8,-22.2,-24.5,-22.6,-23.2,-22.7,-19.0,-16.6,-11.4
Osoyoos northeast,Cabernet Sauvignon,-12.7,-17.6,-20.9,-21.8,-23.3,-24.4,-22.8,-22.9,-20.4,-19.8,-17.9,-14.2
"Osoyoos, southeast ",Chardonnay,,-20.7,-22.2,-22.6,-23.9,,-23.2,,-20.4,-18.0,-16.1,-10.0
Black Sage,Chardonnay,-15.0,-19.0,-22.0,-23.0,-23.7,,-23.2,,-21.8,-18.1,-15.3,-10.6
Naramata bench,Chardonnay,,-20.2,-22.1,-22.5,-22.0,-23.4,-23.2,-23.1,-20.6,-19.3,-15.5,
"OK Falls, east",Chardonnay,-15.7,-22.0,-22.8,-23.5,-21.8,-24.3,-23.3,-22.3,-22.5,-16.6,-12.7,-12.0
Oliver east,Chardonnay,-16.5,-20.7,-23.3,-22.2,-23.4,-25.0,-23.9,-23.2,-24.3,-18.0,-15.3,-12.0
Kelowna,Gewurztraminer,,-17.6,-20.2,-21.2,-21.1,-23.1,-21.6,-21.7,-22.2,-16.8,-13.0,
"OK Falls, west",Gewurztraminer,-13.9,-19.6,-22.0,-21.6,-22.1,-23.7,-22.6,-23.5,-19.6,-18.4,-13.8,-11.7
