2018 - 2019,Variety,6-Nov,20-Nov,4-Dec,18-Dec,2-Jan,15-Jan,29-Jan,12-Feb,26-Feb,12-Mar,26-Mar,9-Apr
Black Sage,Cabernet Franc,-17.7,-23.1,-22.3,-22.2,-23.4,-23.6,-23.8,-24.3,-25.2,-24.9,-18.6,-10.2
"Osoyoos, north",Cabernet Franc,-15.1,-23.3,-23.1,-23.1,-22.9,-23.6,-23.5,-24.2,-24.3,-24.3,,
Oliver east,Cabernet Franc,-17.4,-22.9,-24,-23.8,-24.3,-23.8,-24.4,-23.8,-23.6,-24.3,-18,-11.5
Naramata Bench,Cabernet Franc,-15.4,-20.9,-21.1,-21.9,-21.9,-22.4,-22.2,-24.4,-22.4,-25,-14.7,-9.5
Black Sage,Cabernet Franc,-15.2,-22.2,-23.3,-22.5,-23.1,-23.8,-23.8,-25.1,-24,-23.8,-16,-9.5
"Osoyoos, southeast ",Cabernet Franc,,-21,-24.1,-23,-23.6,-24.7,-24.9,-25.8,-25.1,-25.9,-20.6,-14.3
Osoyoos northeast,Cabernet Sauvignon,-16.4,-22.7,-23.5,-23.7,-23.5,-23.5,-23.9,-22.6,,,,
Osoyoos northeast,Cabernet Sauvignon,-16.6,-21.6,-23,-22.4,-23,-23.3,-23.5,-23.7,-23.7,-22.9,-19.5,-12.2
"Osoyoos, southeast ",Cabernet Sauvignon,-16.5,-21.7,-23.2,-22.2,-23.8,-23,-23.9,-26.3,-23.8,-23.4,-17.8,-10.2
Black Sage,Cabernet Sauvignon,-16.7,-21.7,-22.1,-22.6,-23.5,-23.3,-23.2,-23.2,-24.1,-23.9,-18.6,-12.3
"OK Falls, east",Chardonnay,-18.5,-23.5,-24,-24,-25.2,-23.4,-24.2,-24.7,-25.2,-24.4,-15.6,-10.4
Oliver east,Chardonnay,-17,-22.6,-23.3,-23.9,-24.7,-24.3,-24.6,-25.1,-24,-24.2,-15.6,-9.2
Naramata Bench,Chardonnay,-18.9,-23.5,-23.4,-24,-24,-23.3,-25.3,-26.2,-26.7,-25.9,-18.2,-10.8
"Osoyoos, southeast ",Chardonnay,-17.3,-23.2,-24.7,-24.2,-25,-24.7,-24.6,-25.5,-25.3,-24.7,-17.3,-11.4
