,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,site,variety,month,year,datetime,julian_day,season,hardiness
0,0,0,0,Black Sage,Cabernet Franc,11,2012,2012-11-01,306,1,
1,1,1,1,"Oliver, east",Cabernet Franc,11,2012,2012-11-01,306,1,-13.7
2,2,2,2,"Osoyoos, northeast",Cabernet Sauvignon,11,2012,2012-11-01,306,1,-12.0
3,3,3,3,"Osoyoos, northeast",Cabernet Sauvignon,11,2012,2012-11-01,306,1,-13.5
4,4,4,4,"Osoyoos, southeast ",Cabernet Sauvignon,11,2012,2012-11-01,306,1,
5,5,5,5,Black Sage,Cabernet Sauvignon,11,2012,2012-11-01,306,1,
6,6,6,6,"Osoyoos, southeast ",Chardonnay,11,2012,2012-11-01,306,1,
7,7,7,7,Black Sage,Chardonnay,11,2012,2012-11-01,306,1,
8,8,8,8,Naramata Bench,Chardonnay,11,2012,2012-11-01,306,1,
9,9,9,9,"OK Falls, east",Chardonnay,11,2012,2012-11-01,306,1,-17.5
10,10,10,10,"Oliver, east",Chardonnay,11,2012,2012-11-01,306,1,-17.3
11,11,11,11,"OK Falls, west",Gewurztraminer,11,2012,2012-11-01,306,1,-15.5
12,12,12,12,"Oliver, east",Gewurztraminer,11,2012,2012-11-01,306,1,-14.0
13,13,13,13,"Oliver, west",Merlot,11,2012,2012-11-01,306,1,
14,14,14,14,"Osoyoos, northeast",Merlot,11,2012,2012-11-01,306,1,-14.6
15,15,15,15,Black Sage,Merlot,11,2012,2012-11-01,306,1,-12.0
16,16,16,16,Black Sage,Pinot blanc,11,2012,2012-11-01,306,1,
17,17,17,17,"Oliver, east",Pinot blanc,11,2012,2012-11-01,306,1,-15.4
18,18,18,18,Black Sage,Pinot gris,11,2012,2012-11-01,306,1,
19,19,19,19,"Oliver, east",Pinot gris,11,2012,2012-11-01,306,1,
20,20,20,20,Naramata Bench,Pinot gris,11,2012,2012-11-01,306,1,
21,21,21,21,"OK Falls, east",Pinot gris,11,2012,2012-11-01,306,1,-14.0
22,22,22,22,"Oliver, east",Pinot gris,11,2012,2012-11-01,306,1,-15.3
23,23,23,23,Black Sage,Pinot noir,11,2012,2012-11-01,306,1,
24,24,24,24,Kelowna,Pinot noir,11,2012,2012-11-01,306,1,
25,25,25,25,"Osoyoos, northeast",Pinot noir,11,2012,2012-11-01,306,1,-15.6
26,26,26,26,Black Sage,Riesling,11,2012,2012-11-01,306,1,
27,27,27,27,West Kelowna,Riesling,11,2012,2012-11-01,306,1,
28,28,28,28,"Oliver, east",Riesling,11,2012,2012-11-01,306,1,-16.1
29,29,29,29,Black Sage,Sauvignon blanc,11,2012,2012-11-01,306,1,
30,30,30,30,"Oliver, east",Sauvignon blanc,11,2012,2012-11-01,306,1,-14.5
31,31,31,31,"Oliver, east",Sauvignon blanc,11,2012,2012-11-01,306,1,-14.2
32,32,32,32,"Osoyoos, southeast ",Shiraz,11,2012,2012-11-01,306,1,
33,33,33,33,Black Sage,Shiraz,11,2012,2012-11-01,306,1,
