2013 - 2014,Variety,25-Oct,8-Nov,22-Nov,6-Dec,20-Dec,3-Jan,17-Jan,31-Jan,14-Feb,28-Feb,14-Mar,27-Mar
Black Sage,Cabernet Franc,-12.9,-17.7,-22.4,-23.8,-23.9,-23.5,-22.6,-23.7,-23.0,-23.0,-17.6,-13.3
"Oliver, east",Cabernet Franc,-13.1,-18.2,-22.6,-24.4,-24.1,-23.4,-22.9,-23.5,-21.1,-22.8,-18.4,-17.1
"Osoyoos, northeast",Cabernet Sauvignon,-12.9,-17.0,-22.3,-23.9,-22.8,-22.3,-22.6,-22.7,-21.2,-23.5,-20.1,-17.4
"Osoyoos, northeast",Cabernet Sauvignon,-11.9,-15.8,-21.7,-23.5,-23.1,-22.7,-22.0,-22.3,-21.3,-21.8,-18.2,-15.1
"Osoyoos, southeast ",Cabernet Sauvignon,-11.8,-17.9,-23.2,-24.1,-22.5,-23.2,-22.9,-23.5,-22.0,-22.7,-18.8,-15.4
Black Sage,Cabernet Sauvignon,-11.3,-17.5,-21.3,-24.2,-23.1,-22.5,-21.8,-23.1,-22.7,-23.5,-19.9,-18.8
"Osoyoos, southeast ",Chardonnay,-14.2,-20.7,-23.5,-25.3,-24.6,-24.4,-23.8,-23.7,-23.1,-23.9,-19.3,-14.8
Black Sage,Chardonnay,-13.1,-19.1,-22.4,-24.3,-24.4,-23.0,-22.6,-23.2,-22.9,-22.6,-18.3,-15.2
Naramata Bench,Chardonnay,-13.6,-18.9,-22.0,-22.4,-23.1,-22.9,-22.3,-23.2,-22.4,-23.3,-17.9,-14.9
"OK Falls, east",Chardonnay,-14.2,-19.4,-23.8,-24.6,-24.4,-21.9,-22.9,-24.0,-21.9,-22.5,-17.0,-14.7
"Oliver, east",Chardonnay,-14.4,-19.0,-22.8,-23.7,-24.0,-23.1,-23.5,-23.1,-22.7,-21.5,-15.7,-14.9
"OK Falls, west",Gewurztraminer,-13.0,-19.2,-22.0,-22.8,-22.9,,,-23.2,-22.4,-20.2,-17.6,-15.0
"Oliver, east",Gewurztraminer,-13.2,-19.9,-22.0,-23.2,-22.7,-22.5,-22.0,-22.7,-21.5,-22.8,-17.9,-16.2
"Oliver, west",Merlot,-11.1,-13.8,-19.3,-22.0,-20.8,-19.2,-21.7,-21.4,-19.9,-20.3,-18.7,-15.9
"Osoyoos, northeast",Merlot,-12.6,-17.9,-21.3,-22.3,-23.1,-22.2,-22.3,-22.8,-20.9,-20.8,-19.0,-16.8
Black Sage,Merlot,-12.5,-19.5,-22.4,-23.3,-22.3,-23.2,-22.8,-23.0,-22.6,-21.8,-19.1,-15.5
Black Sage,Pinot blanc,-13.6,-19.3,-24.5,-23.0,-23.4,-22.8,-23.0,-24.3,-23.2,-22.8,-20.1,-18.5
"Oliver, east",Pinot blanc,-14.2,-20.7,-22.7,-23.1,-24.4,-22.2,-23.1,-24.1,-22.9,-22.5,-20.5,-16.3
Black Sage,Pinot gris,-15.1,-20.0,-23.8,-24.3,-25.2,-23.8,-24.4,-22.0,-23.4,-24.3,-19.8,-17.0
"Oliver, east",Pinot gris,-16.0,-21.7,-25.1,-22.0,-25.3,-24.4,-24.7,-23.3,-24.4,-23.4,-21.8,-19.2
Naramata Bench,Pinot gris,-12.2,-16.3,-21.8,-22.7,-23.9,-21.8,-22.6,-23.3,-22.1,-22.6,-19.3,-16.2
"OK Falls, east",Pinot gris,-16.4,-20.1,-24.0,-24.9,-25.3,-23.4,-23.7,-23.6,-22.9,-23.6,-19.4,-17.9
"Oliver, east",Pinot gris,-13.9,-19.5,-22.2,-23.6,-23.4,-22.2,-22.6,-24.4,-21.5,-22.4,-17.7,-16.8
Black Sage,Pinot noir,-14.6,-19.3,-23.7,-25.1,-24.2,-24.1,-23.7,-24.1,-22.1,-24.0,-19.7,-17.4
Kelowna,Pinot noir,-14.0,-20.0,-22.6,-23.7,-24.4,-23.1,-22.9,-23.0,-23.2,-22.9,-19.3,-16.0
"Osoyoos, northeast",Pinot noir,-14.6,-20.6,-23.0,-23.2,-24.4,-23.6,-24.4,-23.3,-22.3,-20.5,-20.0,-18.0
Black Sage,Riesling,-13.4,-21.5,-22.8,-25.1,-24.1,-24.0,-23.7,-23.8,-22.3,-24.1,-21.3,-18.8
West Kelowna,Riesling,-11.8,-17.9,-20.7,-23.3,-22.2,-22.3,-21.7,-22.6,-21.9,-22.4,-18.2,-16.9
"Oliver, east",Riesling,-16.4,-19.8,-23.1,-22.6,-22.0,-22.4,-23.2,-23.1,-24.1,-23.5,-21.0,-18.8
Black Sage,Sauvignon blanc,-12.1,-17.3,-21.4,-23.2,-21.8,-21.6,-21.5,-22.0,-20.5,-21.7,-18.9,-15.1
"Oliver, east",Sauvignon blanc,-15.2,-18.9,-22.5,-23.5,-23.1,-22.1,-22.0,-22.4,-20.8,-21.4,-18.5,-16.1
"Oliver, east",Sauvignon blanc,-12.9,-19.9,-22.9,-24.1,-23.1,-21.9,-22.9,-23.2,-21.9,-21.7,-19.2,-15.6
"Osoyoos, southeast ",Shiraz,-13.1,-17.1,-22.7,-23.8,-23.7,-23.5,-24.0,-23.3,-22.3,-23.0,-19.6,-17.9
Black Sage,Shiraz,-12.5,-16.2,-20.2,-22.9,-23.2,-21.8,-21.7,-23.4,-20.2,-20.0,-20.0,-16.4
"Osoyoos, northeast",Shiraz,-11.3,-15.2,-20.4,-21.6,-21.9,-21.1,-21.0,-22.0,-21.6,-21.3,-18.4,-14.0
"Osoyoos, northeast",Shiraz,-12.9,-16.0,-18.8,-21.4,-21.0,-21.1,-21.8,-21.8,-18.7,-21.3,-19.0,-17.0
"Average Bud Hardiness (all sites, all varieties)",,-13.4,-18.6,-22.3,-23.5,-23.4,-22.7,-22.8,-23.1,-22.1,-22.4,-19.0,-16.4
