"","predLTE1","predLTE2","predLTE3","daynum","twoDayAvg","tdiff","scale","date"
"1",-13.7154285714286,-13.7154285714286,-13.7154285714286,1,12.4,4.5618,0.6,2015-10-20
"2",-14.1112375732986,-14.1112375732986,-14.1112375732986,2,9.05,1.4049,0.95,2015-10-21
"3",-14.4955534143686,-14.4955534143686,-14.4955534143686,3,8.7,1.247,0.95,2015-10-22
"4",-14.8882469053686,-14.8882469053686,-14.8882469053686,4,7.85,0.588100000000001,1,2015-10-23
"5",-15.3074454706046,-15.3074454706046,-15.3074454706046,5,5.6,-1.4718,1.1,2015-10-24
"6",-15.7141466895286,-15.7141466895286,-15.7141466895286,6,5.45,-1.4327,1.1,2015-10-25
"7",-16.0548232143186,-16.0548232143186,-16.0548232143186,7,7.9,1.2054,0.95,2015-10-26
"8",-16.3851592243286,-16.3851592243286,-16.3851592243286,8,8.35,1.8425,0.95,2015-10-27
"9",-16.7222303969286,-16.7222303969286,-16.7222303969286,9,5.85,-0.4714,1,2015-10-28
"10",-17.0325489301106,-17.0325489301106,-17.0325489301106,10,7.2,1.0637,0.95,2015-10-29
"11",-17.2224242758946,-17.2224242758946,-17.2224242758946,11,10.55,4.5978,0.6,2015-10-30
"12",-17.3603455354046,-17.3603455354046,-17.3603455354046,12,10.85,5.0809,0.45,2015-10-31
"13",-17.5680680651046,-17.5680680651046,-17.5680680651046,13,9.4,3.813,0.7,2015-11-01
"14",-17.8409273578946,-17.8409273578946,-17.8409273578946,14,7.4,1.9941,0.95,2015-11-02
"15",-18.1188376062546,-18.1188376062546,-18.1188376062546,15,5.95,0.7242,1,2015-11-03
"16",-18.4145322807386,-18.4145322807386,-18.4145322807386,16,3.75,-1.2967,1.1,2015-11-04
"17",-18.7004515774786,-18.7004515774786,-18.7004515774786,17,3.15,-1.7186,1.1,2015-11-05
"18",-18.9768234712986,-18.9768234712986,-18.9768234712986,18,3.5,-1.1915,1.1,2015-11-06
"19",-19.2074568882086,-19.2074568882086,-19.2074568882086,19,5.95,1.4346,0.95,2015-11-07
"20",-19.3481558125046,-19.3481558125046,-19.3481558125046,20,9.1,4.7597,0.6,2015-11-08
"21",-19.5519363264206,-19.5519363264206,-19.5519363264206,21,7.15,2.9838,0.9,2015-11-09
"22",-19.7704791514206,-19.7704791514206,-19.7704791514206,22,3.25,-0.7431,1,2015-11-10
"23",-19.9813345028206,-19.9813345028206,-19.9813345028206,23,3,-0.821,1,2015-11-11
"24",-20.1846919242206,-20.1846919242206,-20.1846919242206,24,3,-0.6499,1,2015-11-12
"25",-20.3611333997846,-20.3611333997846,-20.3611333997846,25,5.55,2.0702,0.9,2015-11-13
"26",-20.4461466744026,-20.4461466744026,-20.4461466744026,26,8.6,5.2893,0.45,2015-11-14
"27",-20.6099209187426,-20.6099209187426,-20.6099209187426,27,5.95,2.7721,0.9,2015-11-15
"28",-20.7851230353426,-20.7851230353426,-20.7851230353426,28,3,-0.0329999999999999,1,2015-11-16
"29",-20.9453002923926,-20.9453002923926,-20.9453002923926,29,4.05,1.2084,0.95,2015-11-17
"30",-21.0912667912766,-21.0912667912766,-21.0912667912766,30,4.8,2.1466,0.9,2015-11-18
"31",-21.2471980361166,-21.2471980361166,-21.2004186626646,31,1.85,-0.6182,1,2015-11-19
"32",-21.4120258049366,-21.4120258049366,-21.3157981008386,32,0.45,-1.8362,1.1,2015-11-20
"33",-21.6207077630466,-21.6207077630466,-21.4618754715156,33,-1.25,-3.3572,1.45,2015-11-21
"34",-21.8210307594166,-21.8210307594166,-21.6021015689746,34,-2.05,-3.9814,1.45,2015-11-22
"35",-21.9668314381326,-21.9668314381326,-21.7041620440758,35,-0.05,-1.8086,1.1,2015-11-23
"36",-22.0939239217726,-22.0939239217726,-21.7931267826238,36,0.6,-0.989,1,2015-11-24
"37",-22.2705195316826,-22.2705195316826,-21.9167437095608,37,-1.7,-3.1224,1.45,2015-11-25
"38",-22.4571369668826,-22.4571369668826,-22.0473759142008,38,-3.6,-4.859,1.6,2015-11-26
"39",-22.6803909592826,-22.6803909592826,-22.2036537088808,39,-4.25,-5.3486,2,2015-11-27
"40",-22.8939118040026,-22.8939118040026,-22.3531183001848,40,-4.15,-5.0914,2,2015-11-28
"41",-23.0571649631066,-23.0571649631066,-22.4673955115576,41,-3.85,-4.6372,1.6,2015-11-29
"42",-23.2171649631066,-23.2171649631066,-22.5793955115576,42,-4.3,-4.9362,1.6,2015-11-30
"43",-23.3771649631066,-23.3771649631066,-22.6913955115576,43,-3.8,-4.2882,1.6,2015-12-01
"44",-23.4871649631066,-23.4871649631066,-22.7683955115576,44,-1.35,-1.6933,1.1,2015-12-02
"45",-23.5821649631066,-23.5821649631066,-22.8348955115576,45,2.15,1.9484,0.95,2015-12-03
"46",-23.6421649631066,-23.6421649631066,-22.8768955115576,46,4.75,4.687,0.6,2015-12-04
"47",-23.7021649631066,-23.7021649631066,-22.9188955115576,47,4.85,4.9226,0.6,2015-12-05
"48",-23.7621649631066,-23.7621649631066,-22.9608955115575,48,4.65,4.8551,0.6,2015-12-06
"49",-23.8071649631066,-23.8071649631066,-22.9923955115576,49,5.6,5.9344,0.45,2015-12-07
"50",-23.8521649631066,-23.8521649631066,-23.0373955115576,50,6.5,6.9607,1,2015-12-08
"51",-23.7521649631066,-23.7521649631066,-22.9373955115576,51,6.55,7.1338,1,2015-12-09
"52",-23.6521649631066,-23.6521649631066,-22.8373955115575,52,4.6,5.3039,1,2015-12-10
"53",-23.6521649631066,-23.6521649631066,-22.8373955115575,53,2.75,3.5708,0,2015-12-11
"54",-23.6521649631066,-23.6521649631066,-22.8373955115575,54,2.5,3.4347,0,2015-12-12
"55",-23.6021649631066,-23.6021649631066,-22.7873955115575,55,3.25,4.2954,0.5,2015-12-13
"56",-23.5521649631066,-23.5521649631066,-22.7373955115575,56,3.7,4.8531,0.5,2015-12-14
"57",-23.5521649631066,-23.5521649631066,-22.7373955115575,57,NA,0,0,2015-12-15
"58",-23.6621649631066,-23.6621649631066,-22.8473955115575,58,-1,0.1967,-1.1,2015-12-16
"59",-23.7921649631066,-23.7921649631066,-22.9773955115575,59,-2.45,-1.3204,-1.3,2015-12-17
"60",-23.9121649631066,-23.9121649631066,-23.0973955115575,60,-1.85,-0.6812,-1.2,2015-12-18
"61",-24.0121649631066,-24.0121649631066,-23.1973955115575,61,0.35,1.5544,-1,2015-12-19
"62",-24.1121649631066,-24.1121649631066,-23.2973955115575,62,0.6,1.8364,-1,2015-12-20
"63",-24.2121649631066,-24.2121649631066,-23.3973955115576,63,0.2,1.4648,-1,2015-12-21
"64",-24.3221649631066,-24.3221649631066,-23.5073955115576,64,-0.55,0.7396,-1.1,2015-12-22
"65",-24.4321649631066,-24.4321649631066,-23.6173955115576,65,-0.85,0.4608,-1.1,2015-12-23
"66",-24.5421649631066,-24.5421649631066,-23.7273955115575,66,-0.95,0.3784,-1.1,2015-12-24
"67",-24.5661649631066,-24.5661649631066,-23.7441955115575,67,-1.9,-0.5576,-1.2,2015-12-25
"68",-24.5961649631066,-24.5961649631066,-23.7651955115576,68,-4.4,-3.0472,-1.5,2015-12-26
"69",-24.6241649631066,-24.6241649631066,-23.7847955115576,69,-3.9,-2.5404,-1.4,2015-12-27
"70",-24.6481649631066,-24.6481649631066,-23.8015955115576,70,-2.25,-0.8872,-1.2,2015-12-28
"71",-24.6721649631066,-24.6721649631066,-23.8183955115576,71,-2.15,-0.7876,-1.2,2015-12-29
"72",-24.6981649631066,-24.6981649631066,-23.8365955115576,72,-3,-1.6416,-1.3,2015-12-30
"73",-24.7301649631066,-24.7301649631066,-23.8589955115576,73,-7.4,-6.0492,-1.6,2015-12-31
"74",-24.7621649631066,-24.7621649631066,-23.8813955115576,74,-10.85,-9.5104,-1.6,2016-01-01
"75",-24.7941649631066,-24.7941649631066,-23.9037955115576,75,-8.95,-7.6252,-1.6,2016-01-02
"76",-24.8261649631066,-24.8261649631066,-23.9261955115576,76,-6.55,-5.2436,-1.6,2016-01-03
"77",-24.8581649631066,-24.8581649631066,-23.9485955115576,77,-5.7,-4.4156,-1.6,2016-01-04
"78",-24.8861649631066,-24.8861649631066,-23.9681955115576,78,-3.55,-2.2912,-1.4,2016-01-05
"79",-24.9081649631066,-24.9081649631066,-23.9901955115576,79,-0.75,0.4796,-1.1,2016-01-06
"80",-24.8481649631066,-24.8481649631066,-23.9301955115576,80,1.15,2.3468,0.6,2016-01-07
