"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126146","2021-01-01","2021","01","01","","4.7","","1.0","","2.9","","15.1","","0.0","","1.8","","0.0","T","","M","2","","19","","68",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-02","2021","01","02","","7.6","","3.9","","5.8","","12.2","","0.0","","0.0","T","0.0","","","M","","","19","","81",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-03","2021","01","03","","7.3","","0.9","","4.1","","13.9","","0.0","","0.0","T","0.0","","","M","","","19","","46",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-04","2021","01","04","","4.8","","3.1","","4.0","","14.0","","0.0","","2.2","","0.0","","","M","","","19","","46",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-05","2021","01","05","","5.1","","2.8","","4.0","","14.0","","0.0","","0.0","T","0.0","","","M","","","18","","85",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-06","2021","01","06","","7.2","","-0.3","","3.5","","14.5","","0.0","","0.4","","0.0","","","M","","","19","","76",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-07","2021","01","07","","5.0","","-4.1","","0.5","","17.5","","0.0","","0.0","","0.0","","","M","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2021-01-08","2021","01","08","","4.6","","-2.4","","1.1","","16.9","","0.0","","0.0","","0.0","","","M","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2021-01-09","2021","01","09","","4.5","","-4.6","","-0.1","","18.1","","0.0","","0.0","","0.0","","","M","","","19","","48",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-10","2021","01","10","","5.5","","3.7","","4.6","","13.4","","0.0","","0.2","","0.0","","","M","","","19","","46",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-11","2021","01","11","","5.9","","3.3","","4.6","","13.4","","0.0","","0.6","","0.0","","","M","","","19","","63",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-12","2021","01","12","","6.5","","3.0","","4.8","","13.2","","0.0","","1.2","","0.0","","1.2","","","","20","","68",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-13","2021","01","13","","10.0","","-1.6","","4.2","","13.8","","0.0","","1.2","","0.0","","","M","","","20","","74",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-14","2021","01","14","","2.9","","-6.2","","-1.7","","19.7","","0.0","","0.0","","0.0","","","M","","","14","","33",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-15","2021","01","15","","6.2","","0.8","","3.5","","14.5","","0.0","","0.0","","0.0","","","M","","","16","","46",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-16","2021","01","16","","3.4","","-5.2","","-0.9","","18.9","","0.0","","0.0","","0.0","T","","M","","","19","","37",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-17","2021","01","17","","6.1","","0.9","","3.5","","14.5","","0.0","","0.0","","0.0","T","","M","","","18","","48",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-18","2021","01","18","","9.5","","-1.8","","3.9","","14.1","","0.0","","0.0","T","0.0","","","M","","","2","","31",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-19","2021","01","19","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2021-01-20","2021","01","20","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2021-01-21","2021","01","21","","1.1","","-5.8","","-2.4","","20.4","","0.0","","0.0","","0.0","","","M","","","36","","37",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-22","2021","01","22","","-0.7","","-6.9","","-3.8","","21.8","","0.0","","0.0","","0.0","","","M","","","2","","35",""
"-119.60","49.46","PENTICTON A","1126146","2021-01-23","2021","01","23","","-1.9","","-9.9","","-5.9","","23.9","","0.0","","0.0","","0.0","","","M","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2021-01-24","2021","01","24","","-0.5","","-10.2","","-5.4","","23.4","","0.0","","0.0","","0.8","","","M","0","T","","","","M"
