Date,Year,Month,Day,Max Temp C,Min Temp C,Mean Temp C,Total Precip (mm)
18/08/2012,2012,8,18,32.8,13.1,23,0
19/08/2012,2012,8,19,34.9,13.1,24,0
20/08/2012,2012,8,20,34.1,16.2,25.2,0
21/08/2012,2012,8,21,31.1,14.7,22.9,2
22/08/2012,2012,8,22,27.8,9.1,18.5,0
23/08/2012,2012,8,23,25,7.9,16.5,0
24/08/2012,2012,8,24,22.8,10.3,16.6,0
25/08/2012,2012,8,25,25.3,7.2,16.3,0
26/08/2012,2012,8,26,27,9.9,18.5,0
27/08/2012,2012,8,27,29.4,13.1,21.3,0
28/08/2012,2012,8,28,24.6,12.9,18.8,1.6
29/08/2012,2012,8,29,24.8,8,16.4,0
30/08/2012,2012,8,30,25.8,10.2,18,0
31/08/2012,2012,8,31,25.5,9.5,17.5,0
1/9/2012,2012,9,1,25.6,10.5,18.1,0
2/9/2012,2012,9,2,25.2,5.7,15.5,0
3/9/2012,2012,9,3,24.5,8.3,16.4,0
4/9/2012,2012,9,4,25.9,12.8,19.4,0
5/9/2012,2012,9,5,23.6,7,15.3,0.2
6/9/2012,2012,9,6,24.5,6.9,15.7,0
7/9/2012,2012,9,7,26.1,6,16.1,0
8/9/2012,2012,9,8,30.1,5.9,18,0
9/9/2012,2012,9,9,29.3,14.9,22.1,3
10/9/2012,2012,9,10,19,11.8,15.4,
11/9/2012,2012,9,11,19.9,3.6,11.8,0
12/9/2012,2012,9,12,21,0.7,10.9,0
13/09/2012,2012,9,13,23.7,4,13.9,0
14/09/2012,2012,9,14,27.4,3.6,15.5,0
15/09/2012,2012,9,15,26.5,4.9,15.7,0
16/09/2012,2012,9,16,25.3,9.4,17.4,0
17/09/2012,2012,9,17,24.8,7.1,16,0
18/09/2012,2012,9,18,24.4,3.8,14.1,0
19/09/2012,2012,9,19,26,7.1,16.6,0
20/09/2012,2012,9,20,25.5,9.2,17.4,0
21/09/2012,2012,9,21,25.2,6.4,15.8,0
22/09/2012,2012,9,22,24.9,7.2,16.1,0
23/09/2012,2012,9,23,23.9,8,16,0
24/09/2012,2012,9,24,25.7,6.2,16,0
25/09/2012,2012,9,25,24.6,13,18.8,0
26/09/2012,2012,9,26,21.9,6.8,14.4,0
27/09/2012,2012,9,27,22.4,4.7,13.6,0
28/09/2012,2012,9,28,24,4.6,14.3,0
29/09/2012,2012,9,29,25.6,8.3,17,0
30/09/2012,2012,9,30,22.1,5.4,13.8,0
1/10/2012,2012,10,1,22.8,6.1,14.5,0
2/10/2012,2012,10,2,19.1,5.9,12.5,0
3/10/2012,2012,10,3,15.2,1.5,8.4,0
4/10/2012,2012,10,4,16.2,-0.8,7.7,0
5/10/2012,2012,10,5,15.6,-0.6,7.5,0
6/10/2012,2012,10,6,16.6,0.4,8.5,
7/10/2012,2012,10,7,17.7,-1.1,8.3,0
8/10/2012,2012,10,8,18.6,0.9,9.8,0
9/10/2012,2012,10,9,18.5,2.9,10.7,0
10/10/2012,2012,10,10,18.5,0.8,9.7,0
11/10/2012,2012,10,11,17.4,1.2,9.3,0
12/10/2012,2012,10,12,19,5.9,12.5,0
13/10/2012,2012,10,13,15.3,10.3,12.8,0.6
14/10/2012,2012,10,14,17.9,10.6,14.3,
15/10/2012,2012,10,15,19.8,9.2,14.5,1.6
16/10/2012,2012,10,16,15.9,9.6,12.8,5.8
17/10/2012,2012,10,17,14.5,-1.2,6.7,0
18/10/2012,2012,10,18,15.7,9.6,12.7,0.4
19/10/2012,2012,10,19,16.4,8.8,12.6,0.2
20/10/2012,2012,10,20,12.4,2.6,7.5,0
21/10/2012,2012,10,21,7.9,-2.6,2.7,1
22/10/2012,2012,10,22,8.1,0.5,4.3,0.8
23/10/2012,2012,10,23,5.7,2.8,4.3,13.8
24/10/2012,2012,10,24,5.2,3.3,4.3,3.4
25/10/2012,2012,10,25,9,1.3,5.2,
26/10/2012,2012,10,26,6.6,1.6,4.1,3
27/10/2012,2012,10,27,7,3.7,5.4,14.6
28/10/2012,2012,10,28,11.9,6.8,9.4,1
